"","country","agegrp","st","year","N_cases","pct","total_cases"
"75","Austria",5,"STRPNE_11",2013,0,0,564.355433237031
"76","Austria",5,"STRPNE_11",2014,0,0,518.264770736256
"77","Austria",5,"STRPNE_11",2015,0,0,730.392035972255
"78","Austria",5,"STRPNE_11",2016,0,0,738.024153146347
"79","Austria",5,"STRPNE_11",2017,0,0,954.475952714705
"80","Austria",5,"STRPNE_11",2019,0,0,1151.22441269853
"81","Austria",5,"STRPNE_11",2021,0,0,618.739523465008
"82","Austria",5,"STRPNE_11",2022,0,0,921.717160506566
"83","Austria",5,"STRPNE_11",2023,0,0,1488.55207670862
"84","Austria",5,"STRPNE_11",2024,0,0,1643.911178099
"85","Austria",5,"STRPNE_11A",2010,3.44380946979548,0.729927001459854,471.801901136396
"86","Austria",5,"STRPNE_11A",2012,12.1182556119558,3.70370370296296,327.192901588246
"87","Austria",5,"STRPNE_11A",2013,17.5265662657217,3.10559006496894,564.355433237031
"88","Austria",5,"STRPNE_11A",2014,17.7487935194299,3.42465753445205,518.264770736256
"89","Austria",5,"STRPNE_11A",2015,13.912229248267,1.90476190361905,730.392035972255
"90","Austria",5,"STRPNE_11A",2016,24.0286933853712,3.25581395716279,738.024153146347
"91","Austria",5,"STRPNE_11A",2017,44.4737899384643,4.65949821071685,954.475952714705
"92","Austria",5,"STRPNE_11A",2018,17.1260360911202,1.54320987231481,1109.76714174535
"93","Austria",5,"STRPNE_11A",2019,20.3756532956095,1.76991150212389,1151.22441269853
"94","Austria",5,"STRPNE_11A",2020,14.049999379727,2.20994475375691,635.762471249204
"95","Austria",5,"STRPNE_11A",2021,20.1762887925005,3.2608695626087,618.739523465008
"96","Austria",5,"STRPNE_11A",2022,31.4221759054121,3.40909090681818,921.717160506566
"97","Austria",5,"STRPNE_11A",2023,54.62576440989,3.66972477917431,1488.55207670862
"98","Austria",5,"STRPNE_11A",2024,49.7150557657526,3.02419354695565,1643.911178099
"99","Austria",5,"STRPNE_11A/D",2023,0,0,1488.55207670862
"100","Austria",5,"STRPNE_11B",2010,0,0,471.801901136396
"101","Austria",5,"STRPNE_11B",2013,0,0,564.355433237031
"102","Austria",5,"STRPNE_11B",2014,0,0,518.264770736256
"103","Austria",5,"STRPNE_11B",2015,6.95611462413352,0.952380951809524,730.392035972255
"104","Austria",5,"STRPNE_11B",2016,0,0,738.024153146347
"105","Austria",5,"STRPNE_11B",2017,0,0,954.475952714705
"106","Austria",5,"STRPNE_11B",2018,0,0,1109.76714174535
"107","Austria",5,"STRPNE_11B",2019,3.39594221593492,0.294985250353982,1151.22441269853
"108","Austria",5,"STRPNE_11B",2020,0,0,635.762471249204
"109","Austria",5,"STRPNE_11B",2022,0,0,921.717160506566
"110","Austria",5,"STRPNE_11B",2023,0,0,1488.55207670862
"111","Austria",5,"STRPNE_11B",2024,0,0,1643.911178099
"112","Austria",5,"STRPNE_11C",2012,0,0,327.192901588246
"113","Austria",5,"STRPNE_11C",2013,0,0,564.355433237031
"114","Austria",5,"STRPNE_11C",2014,0,0,518.264770736256
