"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2011","UK","United Kingdom",88.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","AT","Austria",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","BE","Belgium",57.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","BG","Bulgaria",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","CY","Cyprus",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","CZ","Czechia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","DK","Denmark",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","EL","Greece",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","ES","Spain",73.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","EUEEA30_21","EU/EEA (without UK)",393.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",492.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","FI","Finland",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","FR","France",134.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","HU","Hungary",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","IE","Ireland",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","IS","Iceland",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","IT","Italy",25.000000000,""
