"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","ES","Spain",73.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","EUEEA30_21","EU/EEA (without UK)",413.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","EUEEAUK_21","EU/EEA (with UK until 2019)",536.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","FI","Finland",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","FR","France",113.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","HR","Croatia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","HU","Hungary",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","IE","Ireland",13.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","IS","Iceland",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","IT","Italy",23.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","LT","Lithuania",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","LU","Luxembourg",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","LV","Latvia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","MT","Malta",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","NL","Netherlands",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","NO","Norway",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","PL","Poland",13.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","PT","Portugal",16.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","RO","Romania",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","SE","Sweden",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","SI","Slovenia",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","SK","Slovakia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","UK","United Kingdom",123.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","AT","Austria",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","BE","Belgium",52.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","BG","Bulgaria",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","CY","Cyprus",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","CZ","Czechia",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","DK","Denmark",13.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","EE","Estonia",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","EL","Greece",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","ES","Spain",78.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","EUEEA30_21","EU/EEA (without UK)",420.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","EUEEAUK_21","EU/EEA (with UK until 2019)",522.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","FI","Finland",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","FR","France",126.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","HU","Hungary",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","IE","Ireland",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","IS","Iceland",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","IT","Italy",28.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","LT","Lithuania",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","LU","Luxembourg",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","LV","Latvia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","MT","Malta",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","NL","Netherlands",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","NO","Norway",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","PL","Poland",21.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","PT","Portugal",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","RO","Romania",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","SE","Sweden",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","SI","Slovenia",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","SK","Slovakia",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2019","UK","United Kingdom",102.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","AT","Austria",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","BE","Belgium",57.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","BG","Bulgaria",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","CY","Cyprus",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","CZ","Czechia",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","DK","Denmark",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","EL","Greece",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","ES","Spain",37.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","EUEEA30_21","EU/EEA (without UK)",276.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","EUEEAUK_21","EU/EEA (with UK until 2019)",276.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","FI","Finland",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","FR","France",89.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","HU","Hungary",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","IE","Ireland",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","IS","Iceland",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","IT","Italy",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","LT","Lithuania",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","LU","Luxembourg",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","LV","Latvia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","NL","Netherlands",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","NO","Norway",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","PL","Poland",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","PT","Portugal",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","RO","Romania",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","SE","Sweden",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","SI","Slovenia",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2020","SK","Slovakia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","AT","Austria",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","BE","Belgium",55.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","BG","Bulgaria",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","CY","Cyprus",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","CZ","Czechia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","DK","Denmark",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","EL","Greece",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","ES","Spain",33.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","EUEEA30_21","EU/EEA (without UK)",297.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","EUEEAUK_21","EU/EEA (with UK until 2019)",297.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","FI","Finland",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","FR","France",98.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","HU","Hungary",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","IE","Ireland",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","IS","Iceland",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","IT","Italy",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","LI","Liechtenstein",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","LT","Lithuania",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","LU","Luxembourg",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","LV","Latvia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","NL","Netherlands",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","NO","Norway",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","PL","Poland",22.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","PT","Portugal",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","RO","Romania",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","SE","Sweden",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","SI","Slovenia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2021","SK","Slovakia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","AT","Austria",13.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","BE","Belgium",63.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","BG","Bulgaria",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","CY","Cyprus",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","CZ","Czechia",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","DK","Denmark",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","EL","Greece",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","ES","Spain",82.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","EUEEA30_21","EU/EEA (without UK)",444.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","EUEEAUK_21","EU/EEA (with UK until 2019)",444.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","FI","Finland",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","FR","France",134.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","HU","Hungary",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","IE","Ireland",14.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","IS","Iceland",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","IT","Italy",25.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","LI","Liechtenstein",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","LT","Lithuania",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","LU","Luxembourg",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","LV","Latvia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","NL","Netherlands",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","NO","Norway",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","PL","Poland",22.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","PT","Portugal",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","RO","Romania",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","SE","Sweden",15.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","SI","Slovenia",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2022","SK","Slovakia",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","AT","Austria",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","BE","Belgium",82.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","BG","Bulgaria",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","CY","Cyprus",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","CZ","Czechia",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","DK","Denmark",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","EL","Greece",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","ES","Spain",96.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","EUEEA30_21","EU/EEA (without UK)",516.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","EUEEAUK_21","EU/EEA (with UK until 2019)",516.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","FI","Finland",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","FR","France",137.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","HU","Hungary",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","IE","Ireland",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","IS","Iceland",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","IT","Italy",41.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","LI","Liechtenstein",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","LT","Lithuania",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","LU","Luxembourg",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","LV","Latvia",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","NL","Netherlands",52.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","NO","Norway",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","PL","Poland",23.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","PT","Portugal",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","RO","Romania",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","SE","Sweden",16.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","SI","Slovenia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2023","SK","Slovakia",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","AT","Austria",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","BE","Belgium",83.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","BG","Bulgaria",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","CY","Cyprus",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","CZ","Czechia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","DK","Denmark",16.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","EE","Estonia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","EL","Greece",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","ES","Spain",96.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","EUEEA30_21","EU/EEA (without UK)",553.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","EUEEAUK_21","EU/EEA (with UK until 2019)",553.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","FI","Finland",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","FR","France",119.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","HU","Hungary",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","IE","Ireland",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","IS","Iceland",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","IT","Italy",33.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","LI","Liechtenstein",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","LT","Lithuania",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","LU","Luxembourg",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","LV","Latvia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","MT","Malta",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","NL","Netherlands",39.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","NO","Norway",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","PL","Poland",40.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","PT","Portugal",16.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","RO","Romania",26.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","SE","Sweden",18.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","SI","Slovenia",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2024","SK","Slovakia",16.000000000,""
